1961	9.507323273
1962	9.28521531
1963	8.845384371
1964	9.211304589
1965	9.433615099
1966	9.151636331
1967	7.482059825
1968	7.197446825
1969	8.235993796
1970	9.693331171
1971	8.512514076
1972	9.22724732
1973	10.80688657
1974	16.03785027
1975	20.93889845
1976	20.190907
1977	20.91279596
1978	19.77920726
1979	18.83717613
1980	18.29154829
1981	15.87285998
1982	17.33400099
1983	15.38752239
1984	16.19908251
1985	14.76198938
1986	15.61428601
1987	15.28090724
1988	16.27545009
1989	13.68091143
1990	12.30197821
1991	11.33858864
1992	9.93883891
1993	10.60395004
1994	10.95679186
1995	11.21369817
1996	10.87543399
1997	11.26931276
1998	11.09299709
1999	11.7675327
2000	9.350397446
2001	9.448934876
2002	9.832440393
2003	10.71391242
2004	10.88435422
2005	10.71784492
2006	10.6018938
2007	10.92815513
2008	11.83043437
2009	13.72571673
2010	13.19965288
2011	12.72904975
2012	13.33729067
2013	14.00538816
2014	14.29615603
2015	14.42952263
2016	14.60569393
2017	14.57125691
2018	14.58089314
