sk	gy
25.42510388	2.189271097
23.73171192	1.973308851
23.92028891	-0.777644496
24.63716129	4.352608771
24.36489482	0.318554416
22.38243597	-3.208670232
22.90410645	1.599300199
18.35770879	-1.035410364
22.48402678	1.652607992
19.55991545	3.807911291
22.39885212	3.263427071
23.25351865	2.045485085
20.52541332	10.75578404
24.64319804	8.128260405
20.57484429	7.940889851
21.05575904	4.506686254
24.48968389	-1.091378379
26.60325304	2.937705526
22.78524468	1.045850179
25.3748809	1.046070933
25.82635515	2.927132726
21.7648178	-1.918593183
20.66603512	-2.823618507
18.78183489	0.085386931
18.95160655	1.382548506
23.56884713	0.944376702
25.40759223	-2.667014061
26.11010737	3.359026676
27.08991607	-1.382839628
24.07200302	1.257248148
22.04545325	1.88592867
22.6700564	-0.207475508
21.07743002	-0.309122933
21.28627174	1.96495055
19.82476483	0.04594147
18.53781543	-0.423772128
20.30894446	2.16057048
23.99565774	1.175564974
19.62846281	-6.604966749
21.27872101	-0.813530425
22.34919319	2.134650214
23.70237849	2.284687206
19.58955329	0.984821248
20.19900654	6.4066799
21.63710123	3.543853785
22.45981393	2.669304909
22.70482793	0.494779993
26.38750759	4.607050249
25.63926505	-1.058188534
28.03731307	1.892927572
28.14239888	6.221051678
27.79583594	4.070252971
28.46705779	3.387280468
28.31443808	2.198941227
26.87009832	-1.507585123
24.97903494	-2.898024887
26.28025933	0.573877117
25.95259963	-0.397089903
